experiment,acid_type,true_buffer_count,source_step,predicted_next_pH,observed_next_pH,prediction_abs_error,posterior_mean_std_before,matched_pka_mae_before
1,triprotic,3,1,2.5519118094816804,3.59,1.0380881905183195,0.20000000000000004,1.5173381465978988
1,triprotic,3,2,2.5902228811755776,3.62,1.0297771188244225,0.1981789119560562,1.5250360931245546
1,triprotic,3,3,2.6370746176689863,3.65,1.0129253823310136,0.1935949728220362,1.517352780339813
4,triprotic,3,1,2.814222573186271,3.9,1.085777426813729,0.20000000000000004,2.396133012040931
4,triprotic,3,2,2.9508364910725504,5.27,2.319163508927449,0.19502095769273756,2.3958856252341776
4,triprotic,3,3,3.0346617626491934,5.84,2.8053382373508065,0.19322204383374175,2.396301303960001
4,triprotic,3,4,3.1153827509842813,6.49,3.374617249015719,0.1947988645669951,2.4024407612668064
4,triprotic,3,5,3.1695271299686283,6.87,3.700472870031372,0.19736935038876835,2.401608341857911
4,triprotic,3,6,3.290427299682051,7.39,4.099572700317949,0.1959011889213433,2.399900086496714
2,monoprotic,1,1,4.322478443617001,4.94,0.6175215563829992,0.20000000000000004,0.13219864504362366
2,monoprotic,1,2,4.455067641334608,11.8,7.3449323586653925,0.20078589203431485,0.12776498241415535
2,monoprotic,1,3,4.392944976454601,5.81,1.417055023545399,0.2042907812790753,0.12084550571910402
2,monoprotic,1,4,4.423969827126712,11.32,6.896030172873289,0.20664153817865302,0.13113200635719746
2,monoprotic,1,5,4.407401781529188,10.57,6.162598218470812,0.20845907200997912,0.12172048420105153
2,monoprotic,1,6,4.3919213861227036,5.81,1.418078613877296,0.2108606178304767,0.12133923790534062
2,monoprotic,1,7,4.401007515611127,6.25,1.848992484388873,0.21448320918992372,0.12806701210122462
2,monoprotic,1,8,4.408216584473848,10.51,6.101783415526151,0.2189931609635364,0.12884892137384352
2,monoprotic,1,9,4.403607910731807,7.07,2.666392089268193,0.21879029638941375,0.11680506656475309
2,monoprotic,1,10,4.39972227322869,6.25,1.85027772677131,0.21928997477580844,0.1181300416132034
2,monoprotic,1,11,4.4034089397173375,6.47,2.0665910602826623,0.21734597487304252,0.14024974034783355
2,monoprotic,1,12,4.404749978799373,6.89,2.4852500212006268,0.2164414351304138,0.14594133425506506
3,monoprotic,1,1,2.4542920438107103,3.3,0.8457079561892895,0.20000000000000004,0.215010497055661
3,monoprotic,1,2,2.7570869671180844,12.4,9.642913032881916,0.20280042194188808,0.20229828048969178
3,monoprotic,1,3,2.6109318470116705,11.96,9.34906815298833,0.20641048918356006,0.20253816724903162
3,monoprotic,1,4,2.475584832020104,3.34,0.8644151679798959,0.20967835341697758,0.20577903755215488
3,monoprotic,1,5,2.5465667529497296,11.38,8.833433247050271,0.21311626154323307,0.20732558290586045
3,monoprotic,1,6,2.5141894756816328,4.45,1.9358105243183674,0.2121031857114609,0.21103384234708988
3,monoprotic,1,7,2.5319732048083097,11.0,8.46802679519169,0.21853901499997805,0.21141280877827473
3,monoprotic,1,8,2.5237371230032295,10.58,8.05626287699677,0.21897678391198316,0.21560985873048777
3,monoprotic,1,9,2.51691722124815,4.45,1.9330827787518503,0.22005630657402322,0.1927214737917322
3,monoprotic,1,10,2.5219596587121487,9.85,7.328040341287851,0.220356898053354,0.18922390778372034
3,monoprotic,1,11,2.5266795232892036,10.58,8.053320476710796,0.21735102310053755,0.19000071935842255
3,monoprotic,1,12,2.523070484865457,10.37,7.846929515134542,0.21725556468783971,0.19050351644625163
3,monoprotic,1,13,2.519912989810109,9.97,7.4500870101898915,0.20820646336827076,0.2110977333515036
6,monoprotic,1,1,2.4766887412406504,2.51,0.03331125875934937,0.20000000000000004,0.3513340547533663
6,monoprotic,1,2,2.6710542486980557,2.86,0.18894575130194413,0.1723474073576665,0.18832060721825972
6,monoprotic,1,3,2.731721696211025,3.03,0.2982783037889747,0.17250051100624922,0.18965989239701964
6,monoprotic,1,4,2.7667357607278973,3.14,0.37326423927210284,0.17826908410957962,0.18903620933503884
6,monoprotic,1,5,2.7860980108380318,3.2,0.4139019891619684,0.17945804040382204,0.1852887155718177
8,diprotic,2,1,3.3596031221095473,2.99,0.36960312210954704,0.20000000000000004,0.4228229130559753
8,diprotic,2,2,3.4275084894616157,3.26,0.1675084894616159,0.2005042668446674,0.41443145989050034
8,diprotic,2,3,3.479634899762459,3.52,0.04036510023754092,0.1950118182786662,0.4066170911510667
8,diprotic,2,4,3.541516328463331,3.71,0.1684836715366691,0.169202314613359,0.2199152547787746
8,diprotic,2,5,3.5577412663260475,3.83,0.2722587336739526,0.17343030187131495,0.22276794468197214
8,diprotic,2,6,3.5686071516247466,3.9,0.3313928483752533,0.17665015898216752,0.21465627294512335
5,monoprotic,1,1,3.088818909600377,3.34,0.2511810903996228,0.20000000000000004,0.27187161839495033
5,monoprotic,1,2,2.9617186337709427,3.16,0.19828136622905745,0.20107727836700537,0.26245238368388346
5,monoprotic,1,3,2.818684209138155,2.96,0.14131579086184498,0.20651147417900662,0.2664214761945516
5,monoprotic,1,4,2.675198495388031,2.76,0.08480150461196878,0.20979302459925053,0.2800483935985367
5,monoprotic,1,5,2.5725891292095184,2.6,0.027410870790481656,0.09588004750326029,0.2633558317845912
11,diprotic,2,1,2.2513867516536266,3.63,1.3786132483463733,0.20000000000000004,1.3025199180322102
11,diprotic,2,2,2.487729486078024,4.31,1.8222705139219757,0.2021696605616554,1.2975747584995636
11,diprotic,2,3,2.596898444928229,4.93,2.333101555071771,0.19994808954471402,1.298608046794353
11,diprotic,2,4,2.6329321882221848,5.18,2.547067811777815,0.19967378619696463,1.2955852796812286
9,diprotic,2,1,4.791494753444567,3.57,1.2214947534445675,0.20000000000000004,0.7204029963491057
9,diprotic,2,2,4.94242777582258,5.79,0.8475722241774202,0.20253189416397785,0.7370008379751607
9,diprotic,2,3,5.025049768388271,6.57,1.544950231611729,0.20446176107682146,0.7400430230619388
9,diprotic,2,4,5.092585930600762,11.59,6.4974140693992375,0.20828292905953086,0.7309851968039449
9,diprotic,2,5,5.056179494364187,7.65,2.5938205056358132,0.2148612283128176,0.7139942254829104
9,diprotic,2,6,5.073482695501298,11.19,6.116517304498702,0.2181063950000265,0.698643621432647
9,diprotic,2,7,5.065061955712736,10.73,5.664938044287265,0.2175743759383232,0.6926635741322793
9,diprotic,2,8,5.055395641596988,7.65,2.5946043584030125,0.22552794470594387,0.6860915605185578
9,diprotic,2,9,5.059998850570992,9.75,4.690001149429008,0.22801130914827158,0.6944806644234369
9,diprotic,2,10,5.058677568100393,8.01,2.951322431899607,0.2239379463639053,0.6939752451391208
13,diprotic,2,1,3.722148153465241,4.14,0.4178518465347585,0.20000000000000004,1.2102012378717202
