experiment,acid_type,true_buffer_count,steps_taken,success,final_pH,target_pH,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
1,triprotic,3,3,True,3.65,3.74,0.0900000000000003,1.5130227192001768,0.19017478122512596,0.0
4,triprotic,3,6,True,7.39,7.37,0.019999999999999574,2.3988673946588848,0.19550880088300668,0.0
2,monoprotic,1,12,True,6.89,6.93,0.040000000000000036,0.14215939955386947,0.2146197937520137,0.5400961243511779
3,monoprotic,1,13,True,9.97,9.97,0.0,0.22887403722218558,0.2037638139776997,0.3571408832888004
6,monoprotic,1,5,True,3.2,3.29,0.08999999999999986,0.17865931791161493,0.18023222096635894,0.8464943815920648
8,diprotic,2,6,True,3.9,3.99,0.0900000000000003,0.20574384848058602,0.17703770065224125,0.33575893121593353
5,monoprotic,1,5,True,2.6,2.56,0.040000000000000036,0.26206708049858385,0.09732351139182234,0.7365432618424604
11,diprotic,2,4,True,5.18,5.21,0.03000000000000025,1.2965791798094504,0.1985109006078937,0.383201594269211
9,diprotic,2,10,True,8.01,8.02,0.009999999999999787,0.6938076221649057,0.22226299364734767,0.3885431779167748
13,diprotic,2,6,True,7.02,7.09,0.07000000000000028,1.224882466630403,0.21458048290043444,0.40392215017589633
12,triprotic,3,6,True,4.04,3.97,0.06999999999999984,1.1136535869440527,0.18876241991262366,0.0
10,triprotic,3,8,True,10.78,10.72,0.05999999999999872,0.8890243602250666,0.2082040411848595,0.0
16,monoprotic,1,1,True,3.3,3.34,0.040000000000000036,0.5943587387254103,0.19814808384177737,0.5448160768520703
15,diprotic,2,8,True,10.99,10.99,0.0,0.9030389709583748,0.220568114618006,0.20503473548950985
14,triprotic,3,4,True,1.92,2.0,0.08000000000000007,2.980691559709984,0.14520581346618522,0.0
18,diprotic,2,6,True,6.62,6.71,0.08999999999999986,1.0149381992067508,0.21900648045748916,0.23728968216518864
17,triprotic,3,6,True,5.85,5.78,0.0699999999999994,1.1238316924972513,0.06289652289722267,0.0
7,triprotic,3,15,True,9.43,9.44,0.009999999999999787,1.0543194584658317,0.22487740607651405,0.0
19,triprotic,3,5,True,3.23,3.32,0.08999999999999986,1.4139665674064261,0.19575428484315874,0.0
21,triprotic,3,5,True,7.31,7.39,0.08000000000000007,0.9615526499157453,0.20769730138760545,0.0
22,diprotic,2,5,True,5.83,5.9,0.07000000000000028,0.5091541620937381,0.013137633301669116,0.010938987317351828
23,triprotic,3,5,True,3.55,3.55,0.0,1.7819657951938732,0.22041336837080527,0.0
20,diprotic,2,19,True,8.53,8.46,0.06999999999999851,0.16554079859279858,0.18436812007004574,0.4910911565798133
27,monoprotic,1,5,True,2.52,2.51,0.010000000000000231,0.2591421053837859,0.20868629843091666,0.7906363000529704
24,triprotic,3,11,True,7.74,7.81,0.0699999999999994,0.4246577718881759,0.1479946508706034,0.0
26,triprotic,3,11,True,8.59,8.67,0.08000000000000007,1.8501785199708911,0.21899584182806522,0.0
30,triprotic,3,5,True,2.66,2.74,0.08000000000000007,1.1796766130052998,0.20284796105858216,0.0
28,diprotic,2,12,True,8.88,8.94,0.05999999999999872,1.178568185457766,0.21870294291186565,0.13440594674277825
29,monoprotic,1,15,True,9.69,9.68,0.009999999999999787,0.3036498579461808,0.2172263594372527,0.8741891026350228
32,diprotic,2,14,True,10.29,10.24,0.049999999999998934,0.8284761009934775,0.19930497276676476,0.3031101735762754
25,monoprotic,1,50,False,6.64,7.25,0.6100000000000003,0.017034763048527246,0.26706124463393693,0.6450327827905521
34,diprotic,2,7,True,5.95,6.03,0.08000000000000007,0.9241402786183219,0.1525615587881867,0.6152137592386903
31,triprotic,3,11,True,10.49,10.56,0.07000000000000028,0.6381848347908741,0.06345466739334857,0.0
36,triprotic,3,1,True,3.41,3.34,0.07000000000000028,1.6021030002437369,0.16272733762552324,0.0
37,triprotic,3,7,True,6.23,6.27,0.03999999999999915,1.5879019653155744,0.21299911081838604,0.0
38,triprotic,3,8,True,3.93,4.02,0.08999999999999941,2.471456204260995,0.19659975689351894,0.0
39,monoprotic,1,12,True,10.07,10.01,0.0600000000000005,2.888444249046278,0.21234072620768144,0.960153245009196
41,monoprotic,1,6,True,6.06,6.05,0.009999999999999787,0.6658882748489825,0.21073916648602956,0.9746210963168456
35,monoprotic,1,9,True,2.15,2.07,0.08000000000000007,0.16722460491252722,0.16911206392072278,0.4722573801156032
40,triprotic,3,8,True,2.06,2.14,0.08000000000000007,1.2571780501115093,0.2680231362455131,0.0
33,monoprotic,1,50,False,7.91,8.17,0.2599999999999998,0.4251064506159894,0.22724900693412972,0.9785081416006769
43,monoprotic,1,4,True,4.99,5.03,0.040000000000000036,0.08089886550989656,0.0902398718548586,0.8515382283068417
46,triprotic,3,3,True,3.63,3.55,0.08000000000000007,1.795774839562455,0.21415805643018226,0.0
42,diprotic,2,15,True,9.92,9.88,0.03999999999999915,0.4982105767391962,0.2367993963555032,0.5866924622849238
48,triprotic,3,4,True,3.06,3.12,0.06000000000000005,1.473917553510122,0.15724142702303723,0.0
44,triprotic,3,9,True,9.05,9.1,0.049999999999998934,1.1774990514484232,0.2060051834176877,0.0
47,triprotic,3,8,True,8.61,8.59,0.019999999999999574,0.6505802191928652,0.20701194034734827,0.0
45,monoprotic,1,26,True,7.89,7.87,0.019999999999999574,0.9576236056724827,0.1962337028075676,0.4314101325815447
50,triprotic,3,7,True,7.08,7.08,0.0,1.3355839934225588,0.20731303589676306,0.0
51,monoprotic,1,14,True,6.6,6.55,0.04999999999999982,0.754117593846575,0.217936482494542,0.5807512841185041
52,diprotic,2,11,True,8.89,8.88,0.009999999999999787,1.6658929566803795,0.18823308596984809,0.38217620160147836
53,diprotic,2,4,True,2.05,2.03,0.020000000000000018,0.7018778625172641,0.21616586306320648,0.336716614544647
54,triprotic,3,5,True,4.03,4.1,0.0699999999999994,2.3183407870434207,0.2159283412883278,0.0
55,monoprotic,1,6,True,6.24,6.3,0.05999999999999961,0.4518021137361119,0.20101038425297205,0.6930680567126783
49,triprotic,3,12,True,10.08,10.13,0.05000000000000071,1.1019232812203887,0.21666158260731394,0.0
56,diprotic,2,11,True,10.25,10.33,0.08000000000000007,0.7088191186178743,0.19127741965379663,0.6073063307232434
57,triprotic,3,7,True,5.09,5.07,0.019999999999999574,0.9588206895640412,0.040469790665657396,0.0
58,triprotic,3,7,True,9.01,9.09,0.08000000000000007,1.6462833239906438,0.2036873909990018,0.0
62,monoprotic,1,10,True,6.45,6.45,0.0,0.801978518903804,0.21130759070061153,0.871311423240971
61,diprotic,2,12,True,9.63,9.56,0.07000000000000028,0.9771175985646485,0.19237451239652972,0.4169873505398305
63,triprotic,3,3,True,3.93,4.0,0.06999999999999984,2.1034449743865027,0.21268351339500127,0.0
59,monoprotic,1,25,True,5.98,5.98,0.0,0.30113978285550624,0.15439633243603232,0.6954714099212493
64,diprotic,2,3,True,2.99,3.05,0.05999999999999961,0.16721113343341498,0.19696591699392396,0.36951040937534796
60,diprotic,2,23,True,8.87,8.96,0.09000000000000163,0.38669900214852904,0.21292117556018023,0.15442163177780038
